rid,dateTime,data
rid-2t6b7shdcs,1613514003960,258
rid-h0c5f877cbo,1613514003960,221
rid-4ic5atspvl8,1613514003960,256
rid-i6v7cujs8n,1613514003960,215
rid-fm18b4a9v18,1613514004975,232
rid-ckj324hld7o,1613514004975,231
rid-15p888tcf78,1613514004975,231
rid-jfc1rrop7ng,1613514004975,233
rid-v00ltlan3j8,1613514004975,233
rid-l9jn74rs0bo,1613514005987,303
rid-79nr5k0jdk8,1613514005987,302
rid-qn0hl2sj4u,1613514005987,300
rid-1rh7fgkpa3o,1613514005987,301
rid-e18s6ln5gs8,1613514005987,299
rid-dn56o9njpvg,1613514006988,202
rid-stl63tf3g2g,1613514006988,202
rid-8tecr6vp19,1613514006988,199
rid-ci0vj2be1f8,1613514006988,201
rid-hc6q6kd11lg,1613514006988,203
rid-ddkta2ebu1g,1613514008002,318
rid-rpupsv1j608,1613514008002,319
rid-kug309b88f8,1613514008002,318
rid-1cpslpesm3o,1613514008002,245
rid-v60gtah58h,1613514008002,317
rid-n60up5j6kdo,1613514009005,247
rid-0u00h3o1iko,1613514009005,246
rid-41taef7m71,1613514009005,247
rid-vlumvd8fkvg,1613514009005,246
rid-f7e4iidnrro,1613514009005,245
rid-t9086i4h2eg,1613514010008,198
rid-kc2s3e9eoig,1613514010008,198
rid-qkl2me6uja,1613514010008,232
rid-uj4t61ec0l,1613514010009,233
rid-k40q20e4ifg,1613514010009,234
rid-gop1b9vkjb8,1613514011020,214
rid-e1didbmh0dg,1613514011020,212
rid-q4oegjlj838,1613514011020,215
rid-oqa3ljvv958,1613514011020,213
rid-78p04mpdmpo,1613514011020,214
rid-b794min83c,1613514012019,235
rid-00v5lhts8hg,1613514012020,234
rid-v54segabuho,1613514012020,240
rid-cdv02d0jo1g,1613514012020,241
rid-vip4pj8bhto,1613514012020,240
rid-ges68e78pgo,1613514013022,548
rid-8m9ust9ju9,1613514013024,522
rid-692ljq6tc5,1613514013024,546
rid-a4kj0jfvf1g,1613514013024,512
rid-oupj6iduqq8,1613514013025,547
rid-6foeeimlbpg,1613514014033,223
rid-c64jqasl4o,1613514014033,189
rid-gadjj8e5in,1613514014033,190
rid-c6806184th,1613514014033,188
rid-1qmfjmqfcn,1613514014033,189
rid-8750cnfdioo,1613514015033,245
rid-e7s2gv9ts2o,1613514015033,245
rid-m3ho20d3dp,1613514015033,243
rid-56tkjka1008,1613514015033,247
rid-ebosflqigt,1613514015033,246
rid-q357e5o1l58,1613514016042,234
rid-i4d44pi38s8,1613514016042,228
rid-hdoob5a3418,1613514016042,231
rid-cn131vqjugo,1613514016042,229
